size,mflop
31,8608.26
32,10751.1
96,12726.4
97,11977.5
127,10987.3
128,13350.3
129,12542.8
191,11732
192,13215.3
229,10676.6
255,11750.5
256,13062.4
257,12616.2
319,11094.8
320,12266.5
321,11824.5
417,9012.05
479,8828.21
480,8555.63
511,8611.48
512,9149.07
639,8053.79
640,8116.72
767,7424.02
768,6973.4
769,6775.74
1023,6396.81
1024,6420.99
1025,6701.37
1525,4564.65
1526,4666.63
1527,4516.32
