size,mflop
31,6502.35
32,7469.44
96,6723.47
97,7095.89
127,7749.62
128,6803.38
129,7196.03
191,7575.99
192,6796.71
229,7019.66
255,7464.02
256,6658.72
257,7051.85
319,7191.97
320,6531.38
321,6845.3
417,6313.13
479,6433.77
480,5991.88
511,6423.85
512,5952.3
639,6244.35
640,5973.95
767,5817.26
768,6042.75
769,6036.15
1023,5669.63
1024,5537.97
1025,5551.11
1525,3553.76
1526,3599.54
1527,3468.72
