size,mflop
31,4424.13
32,4292.36
96,3901.62
97,5598.7
127,5737.39
128,1273.13
129,5631.19
191,3981.08
192,1907.02
229,3815.51
255,3480.48
256,1064.1
257,3477.5
319,2534.82
320,2230.86
321,2510.45
417,2407.48
479,2342.98
480,2049.89
511,2163
512,599.54
639,2390.33
640,1168.71
767,2375.15
768,660.217
769,2359.84
1023,1909.82
1024,546.248
1025,2054.13
1525,770.634
1526,743.738
1527,806.751
