size,mflop
31,2459.85
32,2482.83
96,2094.5
97,3009.31
127,3081.35
128,670.101
129,3086.28
191,2534.04
192,1144.55
229,2471.6
255,2409.06
256,559.143
257,2349.85
319,1471.51
320,1079.87
321,1471.39
417,1423.71
479,1414.56
480,1068.15
511,1328.97
512,312.345
639,1413.65
640,602.435
767,1390.48
768,334.023
769,1391.16
1023,649.403
1024,280.249
1025,616.174
1525,557.162
1526,737.589
1527,572.728
