size,mflop
31,7552.63
32,9529.12
96,7653.28
97,8170.81
127,8131.39
128,7765.97
129,8285.02
191,8103.82
192,7720.81
229,8071.61
255,7834.06
256,7501.69
257,7939.66
319,7405.95
320,7016.65
321,7546.11
417,5572.46
479,5276.31
480,5234.57
511,5277.74
512,5326.2
639,5343.74
640,5281.94
767,5348.48
768,5272.37
769,5272.89
1023,5371.39
1024,5275.57
1025,5325.91
1525,3840.34
1526,4195.22
1527,4018.13
