size,mflop
31,8884.15
32,10905.2
96,12438.6
97,12758.4
127,11055.9
128,12812
129,12370.7
191,11557.3
192,12716.5
229,10613.4
255,11838.5
256,12944.6
257,12641.9
319,11993.3
320,12690.4
321,12620.2
417,12696.2
479,12229.5
480,12447.4
511,11796.8
512,11922.5
639,12224.5
640,12872
767,12265.3
768,12861.8
769,12499.2
1023,11820.7
1024,11628.9
1025,11936.1
1525,9544.34
1526,11069.4
1527,10354.7
