size,mflop
31,8908.16
32,10931.8
96,12443
97,12756.1
127,11034.5
128,12763.5
129,12434
191,11667.9
192,12757.6
229,10668.3
255,11773.4
256,12898.8
257,12581.5
319,11950
320,12598.5
321,12516.8
417,12572.9
479,12104.2
480,12246.9
511,11656.8
512,11789.2
639,12125.1
640,12773
767,12175.2
768,12771.3
769,12492.3
1023,11797.8
1024,11598.3
1025,11971.8
1525,9544.87
1526,11031.7
1527,10325.8
