size,mflop
31,5398.9
32,7822.02
96,7670.34
97,7408.6
127,7137.18
128,7260.52
129,7485.75
191,7426.24
192,7479.79
229,7452.07
255,7411.41
256,5724.69
257,7353.86
319,7424.85
320,7270.66
321,7592.56
417,7599.84
479,7578.54
480,7397.75
511,5868.55
512,4803.25
639,7543.03
640,7073
767,7467.65
768,5666.6
769,7407.88
1023,5728.65
1024,4757.86
1025,5811
1525,7448.9
1526,7826.99
1527,7411.24
