size,mflop
31,4025.27
32,4135.56
96,4382.8
97,4345.95
127,4212.15
128,2780.66
129,4204.28
191,3482.72
192,2800.99
229,3387.53
255,3267.77
256,2454.87
257,3253.86
319,3254.75
320,2743.35
321,3251.48
417,3216.14
479,3168.27
480,2716.74
511,3214.13
512,602.582
639,3040.39
640,2623.23
767,3015.15
768,631.409
769,3152.88
1023,2754.4
1024,564.876
1025,2814.69
1525,2496.58
1526,2533.88
1527,2498.93
